| model                  |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) | 1429.74 ± 10.09 |  668.76 ± 436.48 |               |                  |   8522.34 ± 4089.18 |   8520.55 ± 4089.18 |   8522.34 ± 4089.18 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    37.01 ± 0.32 |     13.98 ± 5.21 | 118.50 ± 7.50 |     28.80 ± 3.63 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   496.05 ± 2.31 |  228.82 ± 145.50 |               |                  |  12295.08 ± 5842.82 |  12293.29 ± 5842.82 |  12295.08 ± 5842.82 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    28.16 ± 0.04 |     12.08 ± 5.67 | 107.00 ± 4.00 |     28.90 ± 4.72 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1522.25 ± 1.20 |   1522.25 ± 1.20 |               |                  |      5383.95 ± 4.25 |      5382.16 ± 4.25 |      5383.95 ± 4.25 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    47.38 ± 4.10 |     47.38 ± 4.10 |  59.50 ± 7.50 |     59.50 ± 7.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |  492.11 ± 13.78 |   492.11 ± 13.78 |               |                  |    4166.69 ± 116.59 |    4164.90 ± 116.59 |    4166.69 ± 116.59 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    39.31 ± 4.99 |     39.31 ± 4.99 |  49.00 ± 2.00 |     49.00 ± 2.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |  1500.60 ± 3.32 | 1137.06 ± 386.64 |               |                  |   8149.29 ± 2770.49 |   8147.50 ± 2770.49 |   8149.29 ± 2770.49 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    27.06 ± 0.27 |     23.96 ± 9.07 |  74.00 ± 0.00 |     42.50 ± 3.91 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   490.93 ± 5.85 |  367.14 ± 122.41 |               |                  |   6271.47 ± 2077.10 |   6269.68 ± 2077.10 |   6271.47 ± 2077.10 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    31.98 ± 0.39 |     25.06 ± 8.52 |  74.00 ± 1.00 |     40.25 ± 3.63 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1453.61 ± 0.91 |  673.79 ± 434.23 |               |                  |  16797.32 ± 8007.20 |  16795.53 ± 8007.20 |  16797.32 ± 8007.20 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    23.48 ± 0.17 |     12.77 ± 8.75 | 100.50 ± 4.50 |    29.60 ± 10.97 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   488.26 ± 0.54 |  224.02 ± 142.37 |               |                  |  12546.91 ± 5942.28 |  12545.13 ± 5942.28 |  12546.91 ± 5942.28 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    28.45 ± 0.55 |     12.13 ± 6.23 | 107.50 ± 0.50 |     27.30 ± 5.06 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) | 1506.94 ± 14.30 |  1506.94 ± 14.30 |               |                  |   10875.80 ± 103.21 |   10874.01 ± 103.21 |   10877.45 ± 102.99 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    40.68 ± 1.79 |     40.68 ± 1.79 |  45.50 ± 1.50 |     45.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   497.37 ± 0.14 |    497.37 ± 0.14 |               |                  |      4119.48 ± 1.16 |      4117.69 ± 1.16 |      4121.19 ± 1.25 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    37.14 ± 2.08 |     37.14 ± 2.08 |  52.50 ± 3.50 |     52.50 ± 3.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1482.45 ± 0.57 | 1116.34 ± 375.06 |               |                  |  16546.45 ± 5557.96 |  16544.67 ± 5557.96 |  16547.72 ± 5557.45 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    17.44 ± 0.01 |    23.23 ± 13.80 |  74.50 ± 4.50 |     41.25 ± 6.02 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   493.61 ± 2.02 |  371.61 ± 124.77 |               |                  |   6213.11 ± 2085.29 |   6211.33 ± 2085.29 |   6214.13 ± 2084.27 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    29.73 ± 0.03 |     23.36 ± 8.59 |  69.50 ± 1.50 |     37.25 ± 6.30 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1467.48 ± 4.14 |  684.64 ± 445.60 |               |                  | 33256.60 ± 15944.60 | 33254.82 ± 15944.60 | 33257.50 ± 15944.87 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    12.82 ± 0.02 |     10.79 ± 9.51 |  63.00 ± 6.00 |    22.40 ± 12.86 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   483.44 ± 3.04 |  224.16 ± 143.44 |               |                  |  12597.39 ± 6013.37 |  12595.60 ± 6013.37 |  12598.60 ± 6013.06 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    28.01 ± 0.76 |     12.12 ± 5.86 | 117.50 ± 5.50 |     29.80 ± 3.89 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |  1486.88 ± 1.03 |   1486.88 ± 1.03 |               |                  |    22040.51 ± 15.26 |    22038.72 ± 15.26 |    22042.42 ± 15.71 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    40.97 ± 0.76 |     40.97 ± 0.76 |  55.50 ± 1.50 |     55.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   477.02 ± 3.30 |    477.02 ± 3.30 |               |                  |     4295.30 ± 29.69 |     4293.51 ± 29.69 |     4298.03 ± 29.45 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    42.98 ± 0.16 |     42.98 ± 0.16 |  52.50 ± 3.50 |     52.50 ± 3.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1471.84 ± 4.04 | 1115.23 ± 379.24 |               |                  | 33226.93 ± 11298.56 | 33225.14 ± 11298.56 | 33229.20 ± 11298.94 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     9.45 ± 0.07 |    18.01 ± 12.60 |  55.00 ± 0.00 |     32.50 ± 6.10 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   478.20 ± 1.27 |  358.15 ± 118.96 |               |                  |   6428.65 ± 2133.80 |   6426.86 ± 2133.80 |   6431.63 ± 2133.93 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    31.69 ± 1.87 |    25.47 ± 10.21 |  76.50 ± 4.50 |     39.00 ± 2.92 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1461.80 ± 1.69 |  676.53 ± 437.74 |               |                  | 66989.58 ± 31883.60 | 66987.79 ± 31883.60 | 66991.52 ± 31883.51 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     6.76 ± 0.01 |    10.71 ± 12.23 |  54.00 ± 5.00 |    18.00 ± 13.39 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   470.43 ± 0.11 |  216.54 ± 137.66 |               |                  |  12987.58 ± 6162.36 |  12985.79 ± 6162.36 |  12989.06 ± 6162.23 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    27.94 ± 0.03 |     12.25 ± 6.57 | 112.00 ± 4.00 |     29.70 ± 6.10 |                     |                     |                     |
