| model                  |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |     42.51 ± 4.11 |     42.51 ± 4.11 |   53.50 ± 5.50 |     53.50 ± 5.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |   433.94 ± 11.17 |   433.94 ± 11.17 |                |                  |    4724.32 ± 121.54 |    4722.64 ± 121.54 |    4724.32 ± 121.54 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |     40.90 ± 2.31 |     40.90 ± 2.31 |   45.50 ± 2.50 |     45.50 ± 2.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |  1306.87 ± 29.89 |  978.36 ± 325.97 |                |                  |   9418.96 ± 3134.71 |   9417.28 ± 3134.71 |   9418.96 ± 3134.71 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |     25.92 ± 1.35 |    24.75 ± 11.61 |   72.00 ± 3.00 |     38.75 ± 4.97 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |    443.90 ± 1.20 |  331.09 ± 109.10 |                |                  |   6940.66 ± 2286.52 |   6938.99 ± 2286.52 |   6940.66 ± 2286.52 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |     29.30 ± 1.01 |     24.20 ± 8.87 |   74.00 ± 2.00 |     37.75 ± 2.95 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |   1302.98 ± 1.80 |  599.52 ± 382.97 |                |                  |  18786.12 ± 8905.42 |  18784.45 ± 8905.42 |  18786.12 ± 8905.42 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |     21.04 ± 0.46 |     11.56 ± 7.85 |   97.00 ± 2.00 |    29.40 ± 12.09 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |    436.70 ± 0.01 |  195.79 ± 120.39 |                |                  |  14117.53 ± 6565.91 |  14115.86 ± 6565.91 |  14117.53 ± 6565.91 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |     26.24 ± 0.13 |     11.58 ± 6.18 |  102.00 ± 5.00 |     27.20 ± 4.14 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) |   1347.66 ± 6.65 |   1347.66 ± 6.65 |                |                  |    12160.04 ± 59.96 |    12158.37 ± 59.96 |    12160.92 ± 60.84 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |     41.22 ± 4.29 |     41.22 ± 4.29 |   51.50 ± 5.50 |     51.50 ± 5.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   423.74 ± 15.72 |   423.74 ± 15.72 |                |                  |    4841.48 ± 179.59 |    4839.81 ± 179.59 |    4843.17 ± 179.89 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |     41.81 ± 3.75 |     41.81 ± 3.75 |   46.00 ± 1.00 |     46.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |   1326.85 ± 3.17 | 1000.09 ± 336.56 |                |                  |  18477.59 ± 6217.73 |  18475.92 ± 6217.73 |  18479.58 ± 6217.80 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |     15.18 ± 0.12 |    19.22 ± 10.95 |   68.00 ± 8.00 |     40.25 ± 8.35 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |    432.52 ± 6.30 |  320.11 ± 104.21 |                |                  |   7154.17 ± 2320.92 |   7152.49 ± 2320.92 |   7155.15 ± 2321.09 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |     28.80 ± 0.31 |     23.40 ± 8.66 |   66.00 ± 0.00 |     38.00 ± 4.58 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |   1316.29 ± 1.28 |  607.13 ± 389.88 |                |                  | 37198.32 ± 17668.42 | 37196.65 ± 17668.42 | 37198.91 ± 17668.16 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |     11.74 ± 0.08 |    10.67 ± 10.89 |   70.50 ± 6.50 |    23.10 ± 12.86 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |    430.57 ± 0.10 |  198.38 ± 125.54 |                |                  |  14162.06 ± 6733.86 |  14160.39 ± 6733.86 |  14163.70 ± 6733.88 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |     26.18 ± 0.22 |     12.04 ± 6.82 |  117.00 ± 2.00 |     30.90 ± 5.63 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |   1310.79 ± 4.95 |   1310.79 ± 4.95 |                |                  |    25001.41 ± 94.33 |    24999.74 ± 94.33 |    25004.26 ± 94.63 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |     41.39 ± 5.48 |     41.39 ± 5.48 |   52.00 ± 9.00 |     52.00 ± 9.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |    420.56 ± 1.09 |    420.56 ± 1.09 |                |                  |     4871.41 ± 12.64 |     4869.74 ± 12.64 |     4873.87 ± 12.43 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |     45.85 ± 2.76 |     45.85 ± 2.76 |   53.00 ± 0.00 |     53.00 ± 0.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |   1305.87 ± 2.08 |  982.00 ± 329.01 |                |                  | 37590.71 ± 12593.40 | 37589.04 ± 12593.40 | 37592.89 ± 12594.15 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |      8.66 ± 0.04 |    17.96 ± 13.24 |   50.50 ± 1.50 |     35.25 ± 9.44 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |    424.19 ± 0.74 |  315.65 ± 103.47 |                |                  |   7270.87 ± 2382.56 |   7269.20 ± 2382.56 |   7273.72 ± 2382.19 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |     30.48 ± 0.47 |     25.89 ± 9.75 |   84.00 ± 4.00 |     44.00 ± 3.67 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |   1308.33 ± 4.55 |  600.23 ± 382.73 |                |                  | 74987.93 ± 35493.54 | 74986.25 ± 35493.54 | 74990.25 ± 35493.33 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |      6.10 ± 0.02 |    10.40 ± 12.64 |   50.50 ± 0.50 |    18.50 ± 14.96 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |    423.54 ± 0.63 |  192.02 ± 119.68 |                |                  |  14494.60 ± 6799.06 |  14492.93 ± 6799.06 |  14496.93 ± 6798.41 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |     25.44 ± 0.20 |     11.29 ± 5.98 | 115.00 ± 13.00 |     31.20 ± 5.72 |                     |                     |                     |
