| model                  |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1443.19 ± 3.70 |  679.51 ± 445.94 |               |                  |   8423.42 ± 4065.25 |   8420.38 ± 4065.25 |   8423.42 ± 4065.25 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    37.66 ± 0.23 |     14.32 ± 5.61 | 115.50 ± 3.50 |     32.10 ± 5.41 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   502.98 ± 3.72 |  233.95 ± 151.20 |               |                  |  12126.72 ± 5799.69 |  12123.68 ± 5799.69 |  12126.72 ± 5799.69 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    28.91 ± 0.09 |     12.72 ± 6.86 | 118.50 ± 0.50 |     29.40 ± 3.98 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) | 1497.91 ± 24.11 |  1497.91 ± 24.11 |               |                  |     5474.10 ± 88.07 |     5471.06 ± 88.07 |     5474.10 ± 88.07 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    36.70 ± 0.92 |     36.70 ± 0.92 |  48.00 ± 3.00 |     48.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |   493.42 ± 3.69 |    493.42 ± 3.69 |               |                  |     4153.88 ± 31.00 |     4150.84 ± 31.00 |     4153.88 ± 31.00 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    37.89 ± 0.23 |     37.89 ± 0.23 |  43.00 ± 1.00 |     43.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |  1488.57 ± 0.38 | 1137.78 ± 393.29 |               |                  |   8181.00 ± 2826.78 |   8177.95 ± 2826.78 |   8181.00 ± 2826.78 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    25.08 ± 0.25 |    22.74 ± 10.35 |  75.00 ± 2.00 |     37.75 ± 4.71 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   498.02 ± 1.39 |  374.40 ± 125.31 |               |                  |   6162.99 ± 2061.38 |   6159.95 ± 2061.38 |   6162.99 ± 2061.38 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    31.61 ± 1.16 |     24.58 ± 8.28 |  73.00 ± 7.00 |     40.25 ± 5.02 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1467.08 ± 1.04 |  687.34 ± 445.81 |               |                  |  16550.59 ± 7954.37 |  16547.55 ± 7954.37 |  16550.59 ± 7954.37 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    23.62 ± 0.11 |     12.86 ± 8.86 | 105.50 ± 9.50 |    30.50 ± 13.79 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   495.95 ± 0.97 |  228.61 ± 146.23 |               |                  |  12332.02 ± 5854.63 |  12328.98 ± 5854.63 |  12332.02 ± 5854.63 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    29.07 ± 0.84 |     12.74 ± 6.54 | 122.50 ± 5.50 |     30.40 ± 6.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) | 1526.31 ± 10.28 |  1526.31 ± 10.28 |               |                  |    10738.56 ± 72.31 |    10735.51 ± 72.31 |    10740.12 ± 72.52 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    42.26 ± 0.47 |     42.26 ± 0.47 |  53.50 ± 1.50 |     53.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   496.29 ± 2.66 |    496.29 ± 2.66 |               |                  |     4129.82 ± 22.08 |     4126.78 ± 22.08 |     4131.89 ± 22.14 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    47.22 ± 2.00 |     47.22 ± 2.00 |  55.50 ± 1.50 |     55.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1492.69 ± 1.58 | 1123.04 ± 376.52 |               |                  |  16440.58 ± 5510.95 |  16437.54 ± 5510.95 |  16442.08 ± 5511.32 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    17.05 ± 0.47 |    21.43 ± 11.73 |  71.50 ± 4.50 |     44.25 ± 3.56 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   490.32 ± 4.36 |  371.07 ± 125.77 |               |                  |   6238.66 ± 2114.13 |   6235.62 ± 2114.13 |   6240.79 ± 2113.87 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    30.16 ± 0.32 |     24.54 ± 8.86 |  72.00 ± 1.00 |     39.50 ± 7.37 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1475.31 ± 6.10 |  686.15 ± 443.99 |               |                  | 33082.77 ± 15825.10 | 33079.73 ± 15825.10 | 33084.11 ± 15824.98 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    12.93 ± 0.12 |     10.75 ± 9.71 |  77.50 ± 5.50 |    23.20 ± 12.11 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   487.09 ± 2.54 |  225.24 ± 144.21 |               |                  |  12536.80 ± 5971.63 |  12533.76 ± 5971.63 |  12538.06 ± 5971.75 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    28.58 ± 0.16 |     12.31 ± 6.36 | 128.50 ± 3.50 |     28.10 ± 3.08 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |  1496.50 ± 2.11 |   1496.50 ± 2.11 |               |                  |    21900.13 ± 30.94 |    21897.08 ± 30.94 |    21902.11 ± 30.32 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    42.65 ± 3.42 |     42.65 ± 3.42 |  53.50 ± 1.50 |     53.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   476.95 ± 1.35 |    476.95 ± 1.35 |               |                  |     4297.06 ± 12.19 |     4294.02 ± 12.19 |     4299.91 ± 12.49 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    41.45 ± 1.05 |     41.45 ± 1.05 |  50.00 ± 4.00 |     50.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1476.14 ± 1.20 | 1116.71 ± 378.54 |               |                  | 33157.01 ± 11238.57 | 33153.97 ± 11238.57 | 33159.51 ± 11238.52 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     9.75 ± 0.02 |    20.70 ± 15.39 |  56.50 ± 1.50 |    41.25 ± 11.95 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   480.51 ± 0.07 |  359.41 ± 119.00 |               |                  |   6402.77 ± 2118.85 |   6399.73 ± 2118.85 |   6405.07 ± 2119.26 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    29.58 ± 0.81 |     22.88 ± 6.60 |  70.00 ± 4.00 |     38.25 ± 0.43 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1464.81 ± 0.40 |  676.17 ± 435.65 |               |                  | 66887.20 ± 31776.92 | 66884.16 ± 31776.92 | 66889.22 ± 31776.85 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     6.76 ± 0.01 |    10.11 ± 11.72 |  56.00 ± 4.00 |    20.10 ± 13.54 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   468.92 ± 0.36 |  216.30 ± 137.98 |               |                  |  13015.43 ± 6176.63 |  13012.39 ± 6176.63 |  13017.26 ± 6175.94 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    27.69 ± 0.26 |     12.00 ± 6.43 | 109.50 ± 7.50 |     29.40 ± 4.10 |                     |                     |                     |
