| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   468.12 ± 1.08 |    468.12 ± 1.08 |                |                  |     4377.84 ± 10.14 |     4375.01 ± 10.14 |     4380.56 ± 10.16 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    34.43 ± 5.72 |     34.43 ± 5.72 |   44.00 ± 6.00 |     44.00 ± 6.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1449.90 ± 1.83 | 1096.65 ± 371.62 |                |                  | 33760.07 ± 11439.17 | 33757.24 ± 11439.17 | 33761.87 ± 11439.79 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     9.49 ± 0.10 |    18.97 ± 13.74 |   53.50 ± 6.50 |     35.75 ± 6.26 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   471.47 ± 0.68 |  353.21 ± 117.33 |                |                  |   6520.28 ± 2164.99 |   6517.45 ± 2164.99 |   6522.58 ± 2164.79 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    31.29 ± 0.25 |     25.59 ± 9.72 |   79.50 ± 0.50 |     43.75 ± 7.19 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1436.32 ± 2.03 |  664.07 ± 428.76 |                |                  | 68191.48 ± 32441.52 | 68188.65 ± 32441.52 | 68193.62 ± 32441.61 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     6.63 ± 0.02 |    10.05 ± 11.14 |   54.50 ± 4.50 |    20.40 ± 13.71 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   464.03 ± 1.69 |  213.00 ± 134.98 |                |                  |  13186.30 ± 6248.61 |  13183.47 ± 6248.61 |  13187.86 ± 6248.00 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    26.82 ± 0.05 |     11.18 ± 5.65 |  111.00 ± 1.00 |     28.30 ± 2.41 |                     |                     |                     |
