| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    39.72 ± 1.54 |     39.72 ± 1.54 |   50.00 ± 5.00 |     50.00 ± 5.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |   493.52 ± 2.36 |    493.52 ± 2.36 |                |                  |     4152.38 ± 19.87 |     4149.83 ± 19.87 |     4152.38 ± 19.87 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    33.14 ± 3.61 |     33.14 ± 3.61 |   42.00 ± 8.00 |     42.00 ± 8.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |  1440.44 ± 2.99 | 1088.65 ± 368.87 |                |                  |   8502.05 ± 2874.75 |   8499.50 ± 2874.75 |   8502.05 ± 2874.75 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    25.25 ± 0.61 |     21.65 ± 7.83 |   66.00 ± 4.00 |     41.00 ± 3.39 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   488.58 ± 0.68 |  366.95 ± 122.58 |                |                  |   6284.72 ± 2098.62 |   6282.17 ± 2098.62 |   6284.72 ± 2098.62 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    31.86 ± 1.77 |     25.25 ± 9.08 |   80.50 ± 9.50 |     40.75 ± 5.21 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1427.80 ± 9.16 |  669.99 ± 437.95 |                |                  |  17045.92 ± 8208.21 |  17043.37 ± 8208.21 |  17045.92 ± 8208.21 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    21.72 ± 0.18 |     10.50 ± 5.84 |   94.50 ± 6.50 |     28.20 ± 6.03 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   477.83 ± 0.80 |  222.30 ± 143.13 |                |                  |  12753.11 ± 6111.92 |  12750.56 ± 6111.92 |  12753.11 ± 6111.92 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    27.28 ± 0.73 |     11.51 ± 5.51 |  109.00 ± 1.00 |     30.00 ± 5.74 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) |  1475.98 ± 7.70 |   1475.98 ± 7.70 |                |                  |    11103.92 ± 57.95 |    11101.37 ± 57.95 |    11105.08 ± 58.00 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    41.12 ± 2.84 |     41.12 ± 2.84 |   51.50 ± 3.50 |     51.50 ± 3.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   482.73 ± 1.64 |    482.73 ± 1.64 |                |                  |     4245.12 ± 14.41 |     4242.57 ± 14.41 |     4246.60 ± 14.29 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    43.95 ± 1.22 |     43.95 ± 1.22 |   54.00 ± 4.00 |     54.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1453.15 ± 4.50 | 1099.13 ± 372.73 |                |                  |  16844.50 ± 5706.48 |  16841.95 ± 5706.48 |  16845.63 ± 5706.88 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    16.22 ± 0.45 |    19.54 ± 11.05 |   65.00 ± 8.00 |     36.75 ± 4.32 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   480.36 ± 0.14 |  361.30 ± 121.00 |                |                  |   6387.13 ± 2138.24 |   6384.59 ± 2138.24 |   6388.63 ± 2138.40 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    29.72 ± 0.66 |     23.39 ± 6.44 |   74.50 ± 0.50 |     40.75 ± 2.38 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1413.95 ± 3.71 |  659.91 ± 429.54 |                |                  | 34491.08 ± 16531.56 | 34488.54 ± 16531.56 | 34491.98 ± 16531.92 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    12.30 ± 0.02 |      9.67 ± 8.64 |   77.00 ± 4.00 |    25.80 ± 12.30 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   464.19 ± 3.04 |  210.93 ± 132.64 |                |                  |  13236.11 ± 6222.16 |  13233.56 ± 6222.16 |  13237.24 ± 6222.02 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    26.96 ± 0.40 |     11.35 ± 5.69 |  113.50 ± 3.50 |     27.00 ± 5.06 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |  1439.28 ± 0.62 |   1439.28 ± 0.62 |                |                  |     22770.12 ± 9.83 |     22767.57 ± 9.83 |    22772.57 ± 10.00 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    39.23 ± 1.82 |     39.23 ± 1.82 |   49.00 ± 1.00 |     49.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   464.61 ± 0.96 |    464.61 ± 0.96 |                |                  |      4410.60 ± 9.11 |      4408.05 ± 9.11 |      4411.52 ± 8.19 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    39.12 ± 0.75 |     39.12 ± 0.75 |   51.50 ± 0.50 |     51.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1437.33 ± 5.38 | 1086.62 ± 368.09 |                |                  | 34065.26 ± 11532.47 | 34062.71 ± 11532.47 | 34067.26 ± 11532.43 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     9.58 ± 0.22 |    21.72 ± 16.78 |   59.50 ± 0.50 |     40.50 ± 9.23 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   458.72 ± 8.40 |  347.31 ± 117.86 |                |                  |   6667.81 ± 2265.13 |   6665.26 ± 2265.13 |   6670.29 ± 2264.92 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    28.77 ± 0.61 |     22.87 ± 7.01 |   73.50 ± 2.50 |     44.25 ± 5.49 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1416.19 ± 0.03 |  655.51 ± 423.94 |                |                  | 69152.34 ± 32935.75 | 69149.79 ± 32935.75 | 69155.09 ± 32935.63 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     6.53 ± 0.00 |     9.99 ± 11.43 |   58.00 ± 7.00 |    20.00 ± 13.34 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   458.92 ± 4.58 |  211.92 ± 135.97 |                |                  |  13324.80 ± 6340.07 |  13322.26 ± 6340.07 |  13326.36 ± 6339.35 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    26.72 ± 0.44 |     11.62 ± 5.58 |  110.00 ± 3.00 |     30.30 ± 3.07 |                     |                     |                     |
