| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    37.11 ± 0.28 |     13.79 ± 4.86 |  115.00 ± 2.00 |     32.50 ± 6.22 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   501.90 ± 3.37 |  232.70 ± 150.75 |                |                  |  12184.05 ± 5806.44 |  12181.72 ± 5806.44 |  12184.05 ± 5806.44 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    28.99 ± 0.13 |     12.73 ± 6.40 |  113.00 ± 3.00 |     29.90 ± 5.28 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) | 1524.77 ± 23.38 |  1524.77 ± 23.38 |                |                  |     5376.88 ± 82.39 |     5374.55 ± 82.39 |     5376.88 ± 82.39 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    39.48 ± 2.88 |     39.48 ± 2.88 |   49.00 ± 0.00 |     49.00 ± 0.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |   504.30 ± 1.39 |    504.30 ± 1.39 |                |                  |     4063.47 ± 11.22 |     4061.14 ± 11.22 |     4063.47 ± 11.22 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    39.19 ± 0.81 |     39.19 ± 0.81 |   48.50 ± 4.50 |     48.50 ± 4.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) | 1478.20 ± 17.80 | 1108.87 ± 371.60 |                |                  |   8318.83 ± 2772.92 |   8316.50 ± 2772.92 |   8318.83 ± 2772.92 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    26.42 ± 0.82 |     22.53 ± 9.06 |   72.00 ± 6.00 |     38.50 ± 3.35 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   502.30 ± 0.82 |  376.66 ± 125.46 |                |                  |   6117.91 ± 2036.70 |   6115.58 ± 2036.70 |   6117.91 ± 2036.70 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    31.62 ± 0.73 |     24.65 ± 7.66 |   68.00 ± 3.00 |     39.75 ± 2.86 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1463.22 ± 0.02 |  692.14 ± 451.97 |                |                  |  16519.10 ± 8002.47 |  16516.77 ± 8002.47 |  16519.10 ± 8002.47 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    23.28 ± 0.33 |     12.22 ± 8.23 | 109.00 ± 10.00 |     29.20 ± 8.30 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   494.26 ± 2.17 |  228.40 ± 145.10 |                |                  |  12317.18 ± 5860.24 |  12314.85 ± 5860.24 |  12317.18 ± 5860.24 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    27.57 ± 0.03 |     11.44 ± 4.92 |  109.00 ± 1.00 |     27.30 ± 6.05 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) | 1499.72 ± 31.88 |  1499.72 ± 31.88 |                |                  |   10932.67 ± 232.32 |   10930.34 ± 232.32 |   10934.03 ± 231.80 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    43.51 ± 0.55 |     43.51 ± 0.55 |   57.00 ± 4.00 |     57.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   492.14 ± 8.97 |    492.14 ± 8.97 |                |                  |     4165.12 ± 75.91 |     4162.79 ± 75.91 |     4166.91 ± 75.87 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    39.19 ± 2.95 |     39.19 ± 2.95 |   50.50 ± 0.50 |     50.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1512.09 ± 0.54 | 1139.04 ± 382.85 |                |                  |  16219.28 ± 5450.67 |  16216.95 ± 5450.67 |  16221.08 ± 5450.74 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    17.19 ± 0.29 |    21.37 ± 11.92 |   71.50 ± 1.50 |     40.00 ± 2.74 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   493.46 ± 5.65 |  372.44 ± 125.59 |                |                  |   6206.96 ± 2093.20 |   6204.63 ± 2093.20 |   6209.00 ± 2093.27 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    29.41 ± 0.72 |     22.43 ± 6.19 |   68.00 ± 2.00 |     35.50 ± 3.84 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1484.60 ± 2.34 |  688.31 ± 445.02 |                |                  | 32932.75 ± 15702.40 | 32930.42 ± 15702.40 | 32934.20 ± 15702.25 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    13.12 ± 0.10 |    11.38 ± 11.03 |   80.50 ± 0.50 |    23.90 ± 12.96 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   489.70 ± 1.97 |  225.74 ± 144.03 |                |                  |  12484.25 ± 5933.49 |  12481.92 ± 5933.49 |  12485.10 ± 5933.15 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    28.42 ± 1.01 |     12.21 ± 6.53 | 109.50 ± 11.50 |     28.60 ± 6.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) | 1511.88 ± 13.41 |  1511.88 ± 13.41 |                |                  |   21678.32 ± 192.28 |   21675.99 ± 192.28 |   21681.47 ± 192.28 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    45.60 ± 1.31 |     45.60 ± 1.31 |   54.00 ± 4.00 |     54.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   480.05 ± 1.67 |    480.05 ± 1.67 |                |                  |     4268.57 ± 14.82 |     4266.24 ± 14.82 |     4271.60 ± 14.89 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    47.27 ± 0.83 |     47.27 ± 0.83 |   52.50 ± 0.50 |     52.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1492.56 ± 4.33 | 1127.03 ± 380.66 |                |                  | 32821.84 ± 11085.13 | 32819.51 ± 11085.13 | 32824.41 ± 11085.52 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     9.75 ± 0.03 |    19.28 ± 13.91 |   55.50 ± 2.50 |     36.25 ± 7.85 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   480.39 ± 0.22 |  359.11 ± 118.76 |                |                  |   6405.59 ± 2117.66 |   6403.26 ± 2117.66 |   6408.49 ± 2117.66 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    30.89 ± 1.04 |     24.50 ± 7.61 |   74.00 ± 3.00 |     41.25 ± 2.49 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1467.19 ± 1.63 |  676.73 ± 434.75 |                |                  | 66792.22 ± 31753.44 | 66789.89 ± 31753.44 | 66794.83 ± 31753.43 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     6.81 ± 0.02 |    11.50 ± 13.69 |   62.50 ± 4.50 |    22.30 ± 16.12 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   471.22 ± 2.61 |  217.55 ± 138.85 |                |                  |  12963.05 ± 6168.92 |  12960.72 ± 6168.92 |  12965.71 ± 6168.26 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    26.91 ± 0.02 |     11.36 ± 5.14 |  108.00 ± 5.00 |     27.80 ± 3.57 |                     |                     |                     |
