| model                  |                 test |     t/s (total) |       t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    38.30 ± 2.39 |    38.30 ± 2.39 |  49.50 ± 8.50 |     49.50 ± 8.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   426.90 ± 0.31 |   426.90 ± 0.31 |               |                  |      4799.00 ± 3.43 |      4797.34 ± 3.43 |      4800.10 ± 3.48 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    43.17 ± 6.91 |    43.17 ± 6.91 | 56.50 ± 13.50 |    56.50 ± 13.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1294.02 ± 1.06 | 968.32 ± 321.23 |               |                  |  19015.25 ± 6307.54 |  19013.59 ± 6307.54 |  19016.62 ± 6307.47 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    15.39 ± 0.03 |   20.65 ± 12.27 |  81.50 ± 5.50 |     44.50 ± 4.92 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   422.95 ± 6.65 | 318.14 ± 106.63 |               |                  |   7254.38 ± 2433.13 |   7252.72 ± 2433.13 |   7256.08 ± 2433.06 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    26.51 ± 1.10 |    20.97 ± 6.53 |  71.50 ± 1.50 |     39.25 ± 5.63 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1278.76 ± 1.21 | 593.11 ± 382.22 |               |                  | 38187.38 ± 18222.28 | 38185.72 ± 18222.28 | 38188.09 ± 18222.42 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    11.26 ± 0.10 |     9.40 ± 9.56 |  81.50 ± 5.50 |    25.30 ± 11.85 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   424.10 ± 1.39 | 194.71 ± 123.36 |               |                  |  14417.90 ± 6829.42 |  14416.24 ± 6829.42 |  14418.96 ± 6829.22 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    24.36 ± 0.12 |    10.23 ± 4.91 |  98.00 ± 4.00 |     27.20 ± 4.83 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |  1285.79 ± 4.27 |  1285.79 ± 4.27 |               |                  |    25487.41 ± 84.54 |    25485.75 ± 84.54 |    25488.54 ± 83.41 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    35.80 ± 0.14 |    35.80 ± 0.14 |  44.50 ± 1.50 |     44.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   415.91 ± 2.26 |   415.91 ± 2.26 |               |                  |     4925.91 ± 26.81 |     4924.25 ± 26.81 |     4928.54 ± 26.86 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    39.38 ± 2.35 |    39.38 ± 2.35 |  48.00 ± 4.00 |     48.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1290.73 ± 3.46 | 972.46 ± 327.05 |               |                  | 37996.38 ± 12778.58 | 37994.72 ± 12778.58 | 37998.13 ± 12777.96 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     8.61 ± 0.19 |   18.86 ± 14.53 |  57.50 ± 0.50 |    40.00 ± 11.22 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   410.13 ± 0.62 | 307.77 ± 102.66 |               |                  |   7488.46 ± 2496.08 |   7486.80 ± 2496.08 |   7490.83 ± 2496.31 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    27.02 ± 0.74 |    21.73 ± 7.17 |  69.50 ± 0.50 |     39.75 ± 3.27 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1280.54 ± 3.80 | 590.64 ± 379.40 |               |                  | 76475.95 ± 36321.36 | 76474.29 ± 36321.36 | 76478.06 ± 36321.43 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     5.96 ± 0.02 |   10.32 ± 13.36 |  69.50 ± 6.50 |    20.30 ± 14.92 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   415.16 ± 3.46 | 188.35 ± 118.20 |               |                  |  14811.51 ± 6948.83 |  14809.85 ± 6948.83 |  14813.48 ± 6948.22 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    24.29 ± 0.08 |    10.46 ± 5.21 | 105.50 ± 1.50 |     27.60 ± 4.90 |                     |                     |                     |
